date,origin,dest,train,dep_time,dep_delay_min,arr_delay_min,arr_delay_sec,canceled
2026-08-16,Brussels-North,Halle,IC 3432,11:14,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 10332,11:18,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 3433,12:14,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 10333,12:18,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 3434,13:14,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 10334,13:18,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 3435,14:14,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 10335,14:18,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 3436,15:14,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 10336,15:18,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 3437,16:14,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 10337,16:18,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 3438,17:14,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 10338,17:18,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 3439,18:14,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 10339,18:18,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 3440,19:14,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 10340,19:18,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 3441,20:14,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 10341,20:18,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 3442,21:14,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 10342,21:18,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 3443,22:14,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 10343,22:18,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 3444,23:14,0,0,0,0
2026-08-16,Brussels-North,Halle,IC 10344,23:18,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 522,00:20,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 504,05:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,S2 3755,06:00,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1505,06:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 505,06:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3604,07:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2805,07:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1506,07:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 506,07:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3605,08:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2806,08:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1507,08:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 507,08:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,T 18022,09:07,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3606,09:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2807,09:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1508,09:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 508,09:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,T 18024,10:07,0,0,0,0
